name,rating_nums,summary,author,peple_nums
尘埃落定,8.4,一个傻子的土司家族传奇,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,"(
                    31972人评价
                )"
麦琪的礼物,8.6,日常的奇迹,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,"(
                    31136人评价
                )"
梦里花落知多少,8.9,哀而不伤,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,"(
                    30102人评价
                )"
那些回不去的年少时光,8.5,所有你曾热爱却正在遗忘的人和事,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,"(
                    30546人评价
                )"
金锁记,8.5,曹七巧就像希克厉，一个扭曲的英雄,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,"(
                    31139人评价
                )"
历史深处的忧虑,9.0,窥见美国社会的一扇窗,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,"(
                    29016人评价
                )"
海贼王,9.5,热血，梦想，希望,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,"(
                    27113人评价
                )"
大地之灯,8.2,两代人的成长与救赎,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,"(
                    31363人评价
                )"
鹿鼎记（全五册）,8.8,武侠的解构，流氓的狂欢,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,"(
                    28949人评价
                )"
悲惨世界（上中下）,8.9,现实主义与浪漫主义的至高杰作,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,"(
                    28195人评价
                )"
史蒂夫·乔布斯传,8.7,完美主义者的最高形态,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,"(
                    28821人评价
                )"
东霓,8.1,自毁而偏执的东霓,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,"(
                    30956人评价
                )"
球状闪电,8.7,量子之外，没有真相,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,"(
                    28814人评价
                )"
长恨歌,8.2,现代上海史诗,王安忆 / 南海出版公司 / 2003-8 / 22.00元,"(
                    30640人评价
                )"
菊与刀,8.2,复杂矛盾的日本民族,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,"(
                    30769人评价
                )"
城南旧事,8.9,长亭外，古道边，芳草碧连天,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,"(
                    27766人评价
                )"
我不喜欢这世界，我只喜欢你,8.0,一想到能和你共度余生，我就对余生充满期待,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元,"(
                    28634人评价
                )"
看不见的城市,8.8,每一座城市都只在想象中耸立，又在描述中坍圮,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,"(
                    27604人评价
                )"
香水,8.5,恋味癖谋杀案,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,"(
                    28431人评价
                )"
你一定爱读的极简欧洲史,8.3,欧洲，为什么老是抢第一？,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元,"(
                    29688人评价
                )"
橙,8.2,定做一个刻着“不过如此”的章，盖在封面上,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,"(
                    28875人评价
                )"
一九八四·动物农场,9.3,一个预言和一个寓言，令人窒息的政治恐怖,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,"(
                    25604人评价
                )"
飞鸟集,8.8,淡泊，超脱,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,"(
                    26783人评价
                )"
往事并不如烟,8.6,知识分子的命运浮沉,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,"(
                    27075人评价
                )"
匆匆那年（上下）,8.3,不悔梦归处 只恨太匆匆,九夜茴 / 东方出版社 / 2008-1 / 29.00,"(
                    28075人评价
                )"
把时间当作朋友,8.5,反成功学的成功学,李笑来 / 电子工业出版社 / 2009-6 / 32.00元,"(
                    27279人评价
                )"
查令十字街84号,8.3,文艺青年的爱情地标,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元,"(
                    27984人评价
                )"
世界尽头与冷酷仙境,8.6,交叉平行蒙太奇,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,"(
                    26964人评价
                )"
江城,9.0,外国人的寻路中国,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,"(
                    25377人评价
                )"
伊豆的舞女,8.2,静美又残酷，无限柔软的川端,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,"(
                    28335人评价
                )"
影响力,8.6,营销防骗指南,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,"(
                    26404人评价
                )"
冰与火之歌（卷一）,9.3,凛冬将至。无比宏大的世界观,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,"(
                    24145人评价
                )"
倚天屠龙记(共四册),8.5,不识张郎是张郎,金庸 / 三联书店 / 1999-04 / 0,"(
                    26564人评价
                )"
中国历代政治得失,9.1,一部简明的“中国政治制度史”,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,"(
                    24609人评价
                )"
